<H1>	<H1>	<H1>	タグ		
2011	2011	2011	未知語		
年	トシ	年	名詞-一般		
</H1>	</H1>	</H1>	タグ		
EOS
<H2>	<H2>	<H2>	タグ		
1	1	1	未知語		
月	ツキ	月	名詞-一般		
</H2>	</H2>	</H2>	タグ		
EOS
<H3>	<H3>	<H3>	タグ		
1	1	1	未知語		
</H3>	</H3>	</H3>	タグ		
EOS
明治製菓	メイジセイカ	明治製菓	名詞-固有名詞-組織		
株式会社	カブシキガイシャ	株式会社	名詞-一般		
（	（	（	記号-括弧開		
社長	シャチョウ	社長	名詞-一般		
：	：	：	記号-一般		
佐藤	サトウ	佐藤	名詞-固有名詞-人名-姓		
尚	ショウ	尚	名詞-固有名詞-人名-名		
忠	チュウ	忠	名詞-一般		
）	）	）	記号-括弧閉		
は	ハ	は	助詞-係助詞		
、	、	、	記号-読点		
「	「	「	記号-括弧開		
メルティーキッス	メルティーキッス	メルティーキッス	未知語		
」	」	」	記号-括弧閉		
ならでは	ナラデハ	ならでは	名詞-接尾-一般		
の	ノ	の	助詞-連体化		
雪	ユキ	雪	名詞-一般		
の	ノ	の	助詞-連体化		
よう	ヨウ	よう	名詞-非自立-助動詞語幹		
に	ニ	に	助詞-副詞化		
なめ	ナメ	なめる	動詞-自立	一段	連用形
ら	ラ	ら	名詞-接尾-一般		
か	カ	か	助詞-副助詞／並立助詞／終助詞		
な	ナ	だ	助動詞	特殊・ダ	体言接続
口	クチ	口	名詞-一般		
どけ	ドケ	どく	動詞-自立	五段・カ行イ音便	命令ｅ
と	ト	と	助詞-格助詞-引用		
、	、	、	記号-読点		
こだわり	コダワリ	こだわり	名詞-一般		
ミルク	ミルク	ミルク	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
使用	シヨウ	使用	名詞-サ変接続		
し	シ	する	動詞-自立	サ変・スル	連用形
た	タ	た	助動詞	特殊・タ	基本形
コク	コク	コク	名詞-一般		
深い	フカイ	深い	形容詞-自立	形容詞・アウオ段	基本形
余韻	ヨイン	余韻	名詞-一般		
が	ガ	が	助詞-格助詞-一般		
楽しめる	タノシメル	楽しめる	動詞-自立	一段	基本形
「	「	「	記号-括弧開		
メルティーキッスエクストラミルク	メルティーキッスエクストラミルク	メルティーキッスエクストラミルク	未知語		
」	」	」	記号-括弧閉		
を	ヲ	を	助詞-格助詞-一般		
2011	2011	2011	未知語		
年	トシ	年	名詞-一般		
1	1	1	未知語		
月	ツキ	月	名詞-一般		
11	11	11	未知語		
日	ビ	日	名詞-接尾-一般		
から	カラ	から	助詞-格助詞-一般		
、	、	、	記号-読点		
ふんわり	フンワリ	ふんわり	副詞-一般		
ホイップクリーム	ホイップクリーム	ホイップクリーム	未知語		
を	ヲ	を	助詞-格助詞-一般		
20%	20%	20%	未知語		
増量	ゾウリョウ	増量	名詞-サ変接続		
（	（	（	記号-括弧開		
従来	ジュウライ	従来	名詞-副詞可能		
比	ヒ	比	名詞-接尾-一般		
）	）	）	記号-括弧閉		
し	シ	する	動詞-自立	サ変・スル	連用形
、	、	、	記号-読点		
サクサク	サクサク	サクサク	副詞-一般		
な	ナ	だ	助動詞	特殊・ダ	体言接続
のに	ノニ	のに	助詞-接続助詞		
“	“	“	記号-括弧開		
もっと	モット	もっと	副詞-一般		
”	”	”	記号-括弧閉		
クリーミー	クリーミー	クリーミー	未知語		
な	ナ	だ	助動詞	特殊・ダ	体言接続
食	ショク	食	名詞-一般		
感	カン	感	名詞-接尾-一般		
が	ガ	が	助詞-格助詞-一般		
楽しめる	タノシメル	楽しめる	動詞-自立	一段	基本形
「	「	「	記号-括弧開		
ポルテエクストラホイップ	ポルテエクストラホイップ	ポルテエクストラホイップ	未知語		
」	」	」	記号-括弧閉		
を	ヲ	を	助詞-格助詞-一般		
2011	2011	2011	未知語		
年	トシ	年	名詞-一般		
1	1	1	未知語		
月	ツキ	月	名詞-一般		
25	25	25	未知語		
日	ビ	日	名詞-接尾-一般		
から	カラ	から	助詞-格助詞-一般		
、	、	、	記号-読点		
冬期	トウキ	冬期	名詞-副詞可能		
限定	ゲンテイ	限定	名詞-サ変接続		
